date,time,cloud cover
2021-11-16,1637042400,0.35
2021-11-16,1637046000,0.26
2021-11-16,1637049600,0.27
2021-11-16,1637053200,0.26
2021-11-16,1637056800,0.2
2021-11-16,1637060400,0.17
2021-11-16,1637064000,0.39
2021-11-16,1637067600,0.17
2021-11-16,1637071200,0.16
2021-11-16,1637074800,0.16
2021-11-16,1637078400,0.28
2021-11-16,1637082000,0.37
2021-11-16,1637085600,0.41
2021-11-16,1637089200,0.41
2021-11-16,1637092800,0.43
2021-11-16,1637096400,0.29
2021-11-16,1637100000,0.25
2021-11-16,1637103600,0.22
2021-11-16,1637107200,0.13
2021-11-16,1637110800,0.08
2021-11-16,1637114400,0.14
2021-11-16,1637118000,0.26
2021-11-16,1637121600,0.3
2021-11-16,1637125200,0.4
2021-11-17,1637128800,0.12
2021-11-17,1637132400,0.12
2021-11-17,1637136000,0.13
2021-11-17,1637139600,0.15
2021-11-17,1637143200,0.28
2021-11-17,1637146800,0.14
2021-11-17,1637150400,0.17
2021-11-17,1637154000,0.2
2021-11-17,1637157600,0.29
2021-11-17,1637161200,0.45
2021-11-17,1637164800,0.72
2021-11-17,1637168400,0.74
2021-11-17,1637172000,0.64
2021-11-17,1637175600,0.49
2021-11-17,1637179200,0.44
2021-11-17,1637182800,0.47
2021-11-17,1637186400,0.76
2021-11-17,1637190000,0.71
2021-11-17,1637193600,0.74
2021-11-17,1637197200,0.82
2021-11-17,1637200800,0.85
2021-11-17,1637204400,0.88
2021-11-17,1637208000,0.88
2021-11-17,1637211600,0.85
2021-11-18,1637215200,0.6
2021-11-18,1637218800,0.61
2021-11-18,1637222400,0.45
2021-11-18,1637226000,0.39
2021-11-18,1637229600,0.59
2021-11-18,1637233200,0.64
2021-11-18,1637236800,0.69
2021-11-18,1637240400,0.72
2021-11-18,1637244000,0.77
2021-11-18,1637247600,0.78
2021-11-18,1637251200,0.43
2021-11-18,1637254800,0.42
2021-11-18,1637258400,0.27
2021-11-18,1637262000,0.24
2021-11-18,1637265600,0.29
2021-11-18,1637269200,0.32
2021-11-18,1637272800,0.4
2021-11-18,1637276400,0.4
2021-11-18,1637280000,0.73
2021-11-18,1637283600,0.85
2021-11-18,1637287200,0.94
2021-11-18,1637290800,0.99
2021-11-18,1637294400,1
2021-11-18,1637298000,1
2021-11-19,1637301600,1
2021-11-19,1637305200,0.98
2021-11-19,1637308800,0.6
2021-11-19,1637312400,0.52
2021-11-19,1637316000,0.42
2021-11-19,1637319600,0.53
2021-11-19,1637323200,0.44
2021-11-19,1637326800,0.2
2021-11-19,1637330400,0.07
2021-11-19,1637334000,0.1
2021-11-19,1637337600,0.27
2021-11-19,1637341200,0.5
2021-11-19,1637344800,0.59
2021-11-19,1637348400,0.5
2021-11-19,1637352000,0.59
2021-11-19,1637355600,0.51
2021-11-19,1637359200,0.47
2021-11-19,1637362800,0.32
2021-11-19,1637366400,0.29
2021-11-19,1637370000,0.15
2021-11-19,1637373600,0.11
2021-11-19,1637377200,0.09
2021-11-19,1637380800,0.04
2021-11-19,1637384400,0.03
2021-11-20,1637388000,0.06
2021-11-20,1637391600,0.22
2021-11-20,1637395200,0.24
2021-11-20,1637398800,0.12
2021-11-20,1637402400,0.13
2021-11-20,1637406000,0.12
2021-11-20,1637409600,0.1
2021-11-20,1637413200,0.01
2021-11-20,1637416800,0.01
2021-11-20,1637420400,0.03
2021-11-20,1637424000,0.05
2021-11-20,1637427600,0.07
2021-11-20,1637431200,0.43
2021-11-20,1637434800,0.5
2021-11-20,1637438400,0.63
2021-11-20,1637442000,0.78
2021-11-20,1637445600,0.62
2021-11-20,1637449200,0.82
2021-11-20,1637452800,0.88
2021-11-20,1637456400,0.77
2021-11-20,1637460000,0.81
2021-11-20,1637463600,0.83
2021-11-20,1637467200,0.86
2021-11-20,1637470800,0.84
2021-11-21,1637474400,0.71
2021-11-21,1637478000,0.88
